t(s),Flux surface 1: solute,Flux surface 2: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
1419257.8827986177,1.0905593145681182e+16,-5.577937768923212e-17,4.835060161012941e+20,28226.52486512953,1657.6145029974955,2.4041303641531708e+22,2.5756503368112297e+18,1.5913204175062448,0.02849397285705734,167164.93215323132,2.452738530796984e+22,28228.116185547024,168822.57515020212
1704109.459358341,9937455574815582.0,-5.615228903346195e-14,4.940725979653123e+20,1656501.6808650345,110473.35237315315,2.686118157537148e+22,2.5756521467478344e+18,93.4754285742878,1.9022810286223615,11245106.501468996,2.735782982548355e+22,1656595.1562936096,11355581.756123198
2045931.3512300092,8983349115946467.0,-3.4826969438936367e-11,5.053563660010841e+20,77823070.10844329,5874840.868127637,2.9920326173789442e+22,2.5756539304531953e+18,4395.492267182213,101.3473169529874,604012968.1662831,3.042825819372098e+22,77827465.60071065,609887910.3817282
2400000.0,8146657540030574.0,-1.2429053528674726e-09,5.161038043755312e+20,1054756960.9615612,84340960.71465741,3.2793794539698185e+22,2.575655494650997e+18,59598.52238031558,1456.279663396765,8713955436.340322,3.3312473999568443e+22,1054816559.483945,8798297853.334671
2695057.207308326,7524207372337639.0,-6.2574279196592775e-09,5.247286064469037e+20,4255547936.5065274,345819557.5667776,3.5005041068398283e+22,2.5756566583237304e+18,240486.32569362767,5972.644999583177,35779255333.81272,3.5532345331503445e+22,4255788422.832215,36125080864.02471
2940938.213398597,7047192576826875.0,-1.860471165582493e-08,5.31733429334311e+20,11163903780.34665,914838170.5646206,3.6730650724514943e+22,2.5756575501045253e+18,630924.4113664516,15802.327297242045,94722218246.13152,3.7264959811399436e+22,11164534704.758018,95637072219.02347
3235995.420706923,6532861817243165.0,-8.659856154310957e-08,5.396056615404615e+20,43111204001.39684,3547186044.5515757,3.865017256008571e+22,2.575658511647634e+18,2436467.8831591266,61277.62403914409,367468788019.53296,3.919235388013793e+22,43113640469.27992,371016035341.71014
3481876.4267971944,6138287809246640.0,-2.4683776737470684e-07,5.459956314879304e+20,114864245019.73657,9409484519.982315,4.015293481132276e+22,2.575659249305083e+18,6491387.789254562,162542.09265015766,974559882091.9554,4.070150610206019e+22,114870736407.52594,983969529154.0311
3686777.265205754,5830280307281137.0,-5.34486600233147e-07,5.512120925431175e+20,244232255326.94946,19848785050.428402,4.134223989876887e+22,2.57565982512615e+18,13801501.573854698,342840.30653826584,2054712817947.0554,4.189602765113704e+22,244246056828.52362,2074561945837.7886
3857527.9638795536,5586846410482155.0,-9.662400951234513e-07,5.5548200997357676e+20,444556777845.1691,35778741845.7658,4.229184184621777e+22,2.575660280226641e+18,25119736.987806924,617916.0196530734,3701299196336.108,4.284989951647168e+22,444581897582.1571,3737078556097.886
4062428.802288113,5314686017082405.0,-2.070990488857346e-06,5.603394949268062e+20,1065416053178.8427,82615828998.94452,4.337586973399894e+22,2.575660789031413e+18,60183023.32210527,1426130.6711286812,8524514968396.408,4.393878488971487e+22,1065476236202.165,8607132223526.018
4233179.500961913,5100916055940348.0,-3.717939527290538e-06,5.642938114991847e+20,2243449244830.8,166782210477.1844,4.424282181214815e+22,2.575661188675074e+18,126684655.34489627,2877431.3580898857,17157600499286.139,4.480969128483602e+22,2243575929486.145,17324385587194.623
4375471.749856746,4931231846266428.0,-5.884916398505183e-06,5.67529305457677e+20,4237469783117.946,302249659412.1516,4.494119906981104e+22,2.5756615059002726e+18,239206275.7020415,5211746.911319969,31001912604412.375,4.5511304036774585e+22,4237708989393.6426,31304167475571.434
4546222.448530545,4739878134374424.0,-1.0518630481273063e-05,5.712249676315729e+20,12526098998929.86,807574481016.6732,4.574676783641902e+22,2.575661863636678e+18,706558421.4793507,13906302.59895045,82228774988114.34,4.632056846591419e+22,12526805557351.318,83036363375433.73
4688514.6974253785,4588428822995265.0,-1.660074667682766e-05,5.742409509048455e+20,32487859237868.406,1938569925598.2058,4.639659067304349e+22,2.575662146771672e+18,1831509132.462866,33346435.627094764,196256534741945.66,4.697340728609515e+22,32489690747000.96,198195138013980.3
4807091.571504406,4467417642819925.0,-2.3883033643764093e-05,5.767157870086571e+20,73568166064610.0,4129857046959.314,4.692380020320563e+22,2.575662373002477e+18,4145569453.3357487,70982799.09341584,416278117759596.75,4.750309165258731e+22,73572311634063.31,420408045789355.5
4949383.820399239,4329567719827188.0,-3.763829756404111e-05,5.7956062272213896e+20,304581462899850.2,15459865465555.89,4.753696234390129e+22,2.5756626307133676e+18,17151170534.270527,265362140.19319654,1546990984549577.2,4.811909862925415e+22,304598614070384.5,1562451115377276.2
5067960.694478266,4219526742471285.0,-5.4108758424662324e-05,5.81890666284972e+20,973020262250292.6,46359753740529.37,4.803492168184737e+22,2.575662836435341e+18,54766682923.51087,795122105.8995678,4619386637506406.0,4.861938801096859e+22,973075028933216.4,4665747186369026.0
5166774.756210789,4130985832018958.0,-7.249704866585144e-05,5.838088567154124e+20,2614163338782418.0,117179298097792.66,4.844115742657224e+22,2.575663001962868e+18,147070381340.21344,2008456589.9942656,1.1635537686703054e+16,4.9027541946289455e+22,2614310409163756.5,1.175271899325748e+16
5285351.630289816,4029178412961172.0,-0.00010424604874389734,5.8602807327595705e+20,1.296177023432871e+16,547077137046265.1,4.891660924653029e+22,2.5756631922921764e+18,728934653101.7639,9369778020.167013,5.410053501943733e+16,4.950521298299848e+22,1.296249916898183e+16,5.464762152626131e+16
5384165.692022339,3947275882403363.5,-0.00013975239822041269,5.87852373927177e+20,4.837630618153222e+16,1914814755223893.8,4.930462470459668e+22,2.575663345409229e+18,2719217613197.5327,32774708705.120937,1.8873228868442474e+17,4.989505274186914e+22,4.837902539914536e+16,1.906471362143575e+17
5502742.566101367,3853084687171187.5,-0.00020129784771960542,5.899862228724067e+20,3.461842925155702e+17,1.3653713110250314e+16,4.975787107612288e+22,2.5756635214999813e+18,19459621031912.88,233661469254.44604,1.3444678011897285e+18,5.035043296251677e+22,3.4620375213660064e+17,1.3581217479614461e+18
5601556.62783389,3776315853603585.5,-0.000270442171601086,5.921493576921646e+20,2.445294350293497e+18,8.558344518433314e+16,5.0119618768859495e+22,2.5756636650195697e+18,137326369540841.5,1463142970046.3958,8.381925293764511e+18,5.071434379021665e+22,2.445431676663038e+18,8.467510202091807e+18
5683901.679277658,3708831037738087.5,-0.0003440171640292169,5.962382269891681e+20,1.0769059910725417e+19,3.545272941728254e+17,5.038607935832779e+22,2.575663791182657e+18,604515693059430.1,6057716886171.125,3.4615615970323132e+19,5.0984893249108195e+22,1.0769664426418485e+19,3.4970149322212917e+19
