"arc_length","retention_mu","retention_c"
0.004726,2.14353e+25,2.27256e+25
0.0047345,2.1585e+25,2.28765e+25
0.004743,2.17336e+25,2.30261e+25
0.0047515,2.18813e+25,2.31745e+25
0.00476,2.2028e+25,2.33216e+25
0.0047685,2.21736e+25,2.34674e+25
0.004777,2.23182e+25,2.36119e+25
0.0047855,2.24616e+25,2.37551e+25
0.004794,2.26039e+25,2.38969e+25
0.0048025,2.27451e+25,2.40373e+25
0.004811,2.28851e+25,2.41763e+25
0.0048195,2.3024e+25,2.43138e+25
0.004828,2.31616e+25,2.44499e+25
0.0048365,2.3298e+25,2.45845e+25
0.004845,2.34331e+25,2.47177e+25
0.0048535,2.35669e+25,2.48493e+25
0.004862,2.36995e+25,2.49794e+25
0.0048705,2.38307e+25,2.5108e+25
0.004879,2.39606e+25,2.52351e+25
0.0048875,2.40892e+25,2.53606e+25
0.004896,2.42164e+25,2.54845e+25
0.0049045,2.43422e+25,2.56068e+25
0.004913,2.44666e+25,2.57276e+25
0.0049215,2.45897e+25,2.58468e+25
0.00493,2.47113e+25,2.59643e+25
0.0049385,2.48315e+25,2.60803e+25
0.004947,2.49503e+25,2.61946e+25
0.0049555,2.50677e+25,2.63074e+25
0.004964,2.51836e+25,2.64185e+25
0.0049725,2.5298e+25,2.6528e+25
0.004981,2.5411e+25,2.66359e+25
0.0049895,2.55225e+25,2.67422e+25
0.004998,2.56326e+25,2.68469e+25
0.0050065,2.57411e+25,2.69499e+25
0.005015,2.58483e+25,2.70513e+25
0.0050235,2.59539e+25,2.71512e+25
0.005032,2.6058e+25,2.72494e+25
0.0050405,2.61607e+25,2.7346e+25
0.005049,2.62619e+25,2.7441e+25
0.0050575,2.63616e+25,2.75345e+25
0.005066,2.64598e+25,2.76263e+25
0.0050745,2.65565e+25,2.77166e+25
0.005083,2.66518e+25,2.78053e+25
0.0050915,2.67456e+25,2.78925e+25
0.0051,2.68379e+25,2.79781e+25
0.0051085,2.69288e+25,2.80622e+25
0.005117,2.70182e+25,2.81447e+25
0.0051255,2.71062e+25,2.82258e+25
0.005134,2.71927e+25,2.83053e+25
0.0051425,2.72778e+25,2.83834e+25
0.005151,2.73615e+25,2.846e+25
0.0051595,2.74437e+25,2.85351e+25
0.005168,2.75246e+25,2.86088e+25
0.0051765,2.7604e+25,2.8681e+25
0.005185,2.7682e+25,2.87518e+25
0.0051935,2.77586e+25,2.88213e+25
0.005202,2.78339e+25,2.88893e+25
0.0052105,2.79078e+25,2.89559e+25
0.005219,2.79803e+25,2.90212e+25
0.0052275,2.80515e+25,2.90852e+25
0.005236,2.81214e+25,2.91478e+25
0.0052445,2.819e+25,2.92091e+25
0.005253,2.82572e+25,2.92691e+25
0.0052615,2.83231e+25,2.93279e+25
0.00527,2.83878e+25,2.93854e+25
0.0052785,2.84512e+25,2.94416e+25
0.005287,2.85133e+25,2.94967e+25
0.0052955,2.85742e+25,2.95505e+25
0.005304,2.86338e+25,2.96031e+25
0.0053125,2.86922e+25,2.96546e+25
0.005321,2.87494e+25,2.97049e+25
0.0053295,2.88055e+25,2.97541e+25
0.005338,2.88603e+25,2.98021e+25
0.0053465,2.8914e+25,2.98491e+25
0.005355,2.89665e+25,2.98949e+25
0.0053635,2.90179e+25,2.99397e+25
0.005372,2.90681e+25,2.99835e+25
0.0053805,2.91172e+25,3.00262e+25
0.005389,2.91653e+25,3.0068e+25
0.0053975,2.92122e+25,3.01087e+25
0.005406,2.92581e+25,3.01484e+25
0.0054145,2.93029e+25,3.01872e+25
0.005423,2.93466e+25,3.02251e+25
0.0054315,2.93894e+25,3.0262e+25
0.00544,2.94311e+25,3.0298e+25
0.0054485,2.94717e+25,3.03331e+25
0.005457,2.95114e+25,3.03674e+25
0.0054655,2.95501e+25,3.04008e+25
0.005474,2.95878e+25,3.04333e+25
0.0054825,2.96246e+25,3.04651e+25
0.005491,2.96604e+25,3.0496e+25
0.0054995,2.96953e+25,3.05261e+25
0.005508,2.97292e+25,3.05555e+25
0.0055165,2.97622e+25,3.05841e+25
0.005525,2.97943e+25,3.0612e+25
0.0055335,2.98255e+25,3.06391e+25
0.005542,2.98558e+25,3.06655e+25
0.0055505,2.98852e+25,3.06912e+25
0.005559,2.99137e+25,3.07163e+25
0.0055675,2.99413e+25,3.07406e+25
0.005576,2.99681e+25,3.07644e+25
0.0055845,2.99941e+25,3.07874e+25
0.005593,3.00191e+25,3.08099e+25
0.0056015,3.00433e+25,3.08317e+25
0.00561,3.00667e+25,3.0853e+25
0.0056185,3.00892e+25,3.08736e+25
0.005627,3.01109e+25,3.08937e+25
0.0056355,3.01317e+25,3.09132e+25
0.005644,3.01516e+25,3.09322e+25
0.0056525,3.01707e+25,3.09507e+25
0.005661,3.01889e+25,3.09686e+25
0.0056695,3.02063e+25,3.09861e+25
0.005678,3.02228e+25,3.1003e+25
0.0056865,3.02384e+25,3.10194e+25
0.005695,3.02531e+25,3.10354e+25
0.0057035,3.02668e+25,3.10509e+25
0.005712,3.02796e+25,3.1066e+25
0.0057205,3.02914e+25,3.10806e+25
0.005729,3.03022e+25,3.10948e+25
0.0057375,3.0312e+25,3.11086e+25
0.005746,3.03207e+25,3.1122e+25
0.0057545,3.03282e+25,3.1135e+25
0.005763,3.03346e+25,3.11476e+25
0.0057715,3.03397e+25,3.11598e+25
0.00578,3.03434e+25,3.11717e+25
0.0057885,3.03457e+25,3.11832e+25
0.005797,3.03464e+25,3.11943e+25
0.0058055,3.03454e+25,3.12052e+25
